Quantiles,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI,wavelength (nm),distance (cm)
Max / Min,5.558,6.128,6.842,10.35,8.353,11.608,5.4,5.837,673,1_cm
99% / 1%,3.533,3.876,4.063,5.124,5.894,5.567,3.766,3.442,673,1_cm
95% / 5%,2.648,2.49,2.698,2.906,3.52,3.245,2.886,2.169,673,1_cm
Max / Min,4.594,5.121,5.879,7.88,6.893,8.789,4.48,5.222,686,1_cm
99% / 1%,3.228,3.313,3.546,4.22,4.969,4.58,3.473,3.56,686,1_cm
95% / 5%,2.451,2.261,2.486,2.65,3.096,2.912,2.837,2.384,686,1_cm
Max / Min,3.851,4.214,5.066,6.611,5.592,7.259,3.904,4.383,701,1_cm
99% / 1%,2.911,2.87,3.02,3.445,3.968,3.826,3.122,3.224,701,1_cm
95% / 5%,2.22,2.115,2.264,2.343,2.748,2.594,2.647,2.273,701,1_cm
Max / Min,3.404,3.984,4.41,5.333,4.471,5.726,3.378,4.061,724,1_cm
99% / 1%,2.743,2.477,2.826,3.203,3.392,3.308,2.906,3.09,724,1_cm
95% / 5%,2.108,1.975,2.185,2.243,2.491,2.367,2.389,2.08,724,1_cm
Max / Min,3.318,3.374,4.235,5.763,4.567,5.892,3.416,3.979,754,1_cm
99% / 1%,2.569,2.524,2.653,3.231,3.34,3.124,2.76,3.042,754,1_cm
95% / 5%,2.015,1.933,2.046,2.269,2.423,2.271,2.375,2.0,754,1_cm
Max / Min,3.147,2.894,3.851,4.377,3.842,4.487,3.116,3.365,784,1_cm
99% / 1%,2.338,2.225,2.391,2.772,2.928,2.777,2.546,2.823,784,1_cm
95% / 5%,1.889,1.815,1.871,2.051,2.162,2.071,2.106,1.939,784,1_cm
Max / Min,3.027,2.609,3.577,3.8,3.539,4.166,3.126,4.148,814,1_cm
99% / 1%,2.199,2.119,2.273,2.631,2.678,2.604,2.575,2.872,814,1_cm
95% / 5%,1.793,1.74,1.766,1.935,2.05,1.968,2.092,1.949,814,1_cm
Max / Min,3.069,2.624,3.528,3.783,3.547,4.167,3.051,3.962,827,1_cm
99% / 1%,2.237,2.135,2.279,2.618,2.594,2.582,2.295,2.646,827,1_cm
95% / 5%,1.811,1.725,1.759,1.946,2.03,1.954,1.839,1.92,827,1_cm
Max / Min,18.023,25.959,27.345,53.074,35.82,61.339,23.976,27.498,673,1.5_cm
99% / 1%,9.095,12.844,12.252,15.889,20.51,20.9,10.254,7.78,673,1.5_cm
95% / 5%,5.152,6.124,6.393,6.002,7.901,8.053,6.409,3.474,673,1.5_cm
Max / Min,13.367,18.734,21.199,35.796,27.26,40.528,17.279,20.035,686,1.5_cm
99% / 1%,7.942,9.734,10.324,13.191,16.332,15.532,9.588,8.724,686,1.5_cm
95% / 5%,4.764,5.162,5.627,5.144,6.471,6.924,6.501,3.973,686,1.5_cm
Max / Min,11.578,12.803,18.069,26.588,19.442,31.13,13.469,15.17,701,1.5_cm
99% / 1%,6.595,7.396,7.965,8.639,11.491,11.39,8.206,7.961,701,1.5_cm
95% / 5%,4.263,4.471,4.875,4.362,5.349,5.799,5.979,3.833,701,1.5_cm
Max / Min,9.853,11.878,15.002,19.624,14.184,22.074,10.955,13.195,724,1.5_cm
99% / 1%,6.213,5.896,7.08,8.764,9.512,9.015,7.241,7.529,724,1.5_cm
95% / 5%,4.087,3.99,4.617,4.129,4.887,5.136,5.082,3.365,724,1.5_cm
Max / Min,9.352,10.079,13.214,22.544,15.304,23.838,11.717,13.984,754,1.5_cm
99% / 1%,5.551,6.497,6.883,9.004,8.923,8.824,6.932,7.125,754,1.5_cm
95% / 5%,3.682,4.07,4.203,4.351,4.843,4.881,5.127,3.182,754,1.5_cm
Max / Min,8.085,7.668,11.969,14.41,12.112,14.667,9.553,10.275,784,1.5_cm
99% / 1%,4.852,5.125,5.568,7.283,7.39,7.184,5.813,7.119,784,1.5_cm
95% / 5%,3.375,3.495,3.755,3.782,4.104,4.255,4.167,3.227,784,1.5_cm
Max / Min,8.127,6.456,11.268,12.976,10.677,13.82,9.191,13.671,814,1.5_cm
99% / 1%,4.762,4.527,5.243,6.558,6.769,6.374,5.949,7.07,814,1.5_cm
95% / 5%,3.244,3.269,3.441,3.546,3.904,3.969,4.232,3.292,814,1.5_cm
Max / Min,8.258,6.318,10.898,12.66,10.819,13.569,7.11,12.711,827,1.5_cm
99% / 1%,4.755,4.683,5.257,6.594,6.552,6.381,4.834,6.872,827,1.5_cm
95% / 5%,3.269,3.286,3.454,3.606,3.815,3.977,3.384,3.282,827,1.5_cm
Max / Min,59.152,118.607,111.302,276.477,140.499,373.427,96.283,123.263,673,2_cm
99% / 1%,22.314,45.909,36.377,46.457,62.049,74.429,25.923,16.587,673,2_cm
95% / 5%,9.545,13.63,14.055,11.505,16.922,18.201,13.697,5.424,673,2_cm
Max / Min,40.838,72.777,75.929,164.296,98.504,203.028,60.911,78.825,686,2_cm
99% / 1%,18.459,32.027,29.056,36.0,48.094,51.513,25.615,19.056,686,2_cm
95% / 5%,8.493,10.879,11.907,9.447,12.686,14.853,14.254,6.388,686,2_cm
Max / Min,31.789,46.301,59.44,107.545,64.08,127.491,43.612,55.036,701,2_cm
99% / 1%,14.428,21.793,19.944,19.45,29.769,32.349,20.559,18.047,701,2_cm
95% / 5%,7.504,9.047,9.886,7.707,10.169,11.879,12.476,6.203,701,2_cm
Max / Min,25.924,40.65,47.456,73.136,42.969,79.734,33.298,46.966,724,2_cm
99% / 1%,13.384,15.873,17.681,20.03,23.488,24.961,17.3,16.545,724,2_cm
95% / 5%,7.194,7.935,9.266,7.139,8.822,10.125,10.199,5.169,724,2_cm
Max / Min,27.922,31.266,44.643,94.61,46.534,99.611,38.862,55.453,754,2_cm
99% / 1%,11.161,18.701,17.904,22.674,22.743,24.921,16.759,15.162,754,2_cm
95% / 5%,6.311,8.155,8.474,7.72,8.914,9.602,10.565,4.827,754,2_cm
Max / Min,20.67,22.026,36.194,49.39,34.498,52.914,29.909,35.895,784,2_cm
99% / 1%,9.733,12.983,13.466,17.41,17.659,18.922,13.281,15.72,784,2_cm
95% / 5%,5.746,6.851,7.289,6.503,7.293,8.096,8.043,5.02,784,2_cm
Max / Min,21.32,16.645,35.883,42.624,30.205,48.173,28.975,48.683,814,2_cm
99% / 1%,9.922,10.795,12.031,15.279,15.797,15.968,14.185,15.947,814,2_cm
95% / 5%,5.598,5.99,6.579,6.184,6.861,7.61,8.269,5.25,814,2_cm
Max / Min,22.378,17.461,31.796,43.973,30.822,46.234,15.988,45.298,827,2_cm
99% / 1%,10.094,11.957,12.644,15.508,15.26,16.697,10.416,16.501,827,2_cm
95% / 5%,5.623,6.525,6.778,6.219,6.741,7.727,6.103,5.295,827,2_cm
Max / Min,188.996,551.631,439.701,1350.344,527.646,2305.565,364.67,514.87,673,2.5_cm
99% / 1%,51.581,157.275,98.623,129.828,183.289,251.785,61.891,34.125,673,2.5_cm
95% / 5%,17.254,28.88,28.669,21.586,34.563,39.934,27.923,8.186,673,2.5_cm
Max / Min,119.507,294.339,277.41,705.606,340.232,1054.796,201.711,289.193,686,2.5_cm
99% / 1%,40.147,100.761,73.147,94.287,135.312,161.697,62.641,40.956,686,2.5_cm
95% / 5%,14.872,21.785,23.872,17.034,24.38,30.729,28.953,9.94,686,2.5_cm
Max / Min,82.905,166.634,184.583,406.878,208.999,583.047,132.566,186.722,701,2.5_cm
99% / 1%,30.049,62.008,45.911,42.906,74.122,88.566,50.892,39.091,701,2.5_cm
95% / 5%,12.657,17.175,18.21,12.988,18.605,23.256,24.947,9.762,701,2.5_cm
Max / Min,64.712,143.413,141.503,255.099,127.025,328.161,94.953,156.278,724,2.5_cm
99% / 1%,26.793,43.788,40.045,43.904,55.07,62.716,38.643,34.617,724,2.5_cm
95% / 5%,12.321,14.819,17.332,11.973,15.568,19.302,19.313,7.73,724,2.5_cm
Max / Min,78.408,101.538,150.253,388.036,134.248,433.73,122.044,206.213,754,2.5_cm
99% / 1%,21.559,51.56,42.649,55.018,54.512,64.658,38.003,31.073,754,2.5_cm
95% / 5%,10.364,15.693,15.753,13.374,16.048,18.368,20.055,7.352,754,2.5_cm
Max / Min,51.891,61.707,118.316,177.454,92.89,187.715,88.417,117.037,784,2.5_cm
