Quantile,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wavelength (nm),distance (cm)
Max_DR,5.62 E-3,6.37 E-2,3.99 E0,5.21 E-3,7.72 E-2,4.46 E0,5.29 E-3,7.82 E-2,3.66 E0,5.02 E-3,8.93 E-2,4.04 E0,4.93 E-3,9.54 E-2,3.68 E0,5.62 E-3,6.37 E-2,3.99 E0,5.61 E-3,3.62 E-2,2.16 E0,5.42 E-3,6.98 E-2,4.32 E0,673,1
99%_DR,4.74 E-3,nan,nan,4.85 E-3,nan,nan,4.72 E-3,nan,nan,4.20 E-3,nan,nan,4.13 E-3,nan,nan,4.71 E-3,nan,nan,5.06 E-3,nan,nan,4.39 E-3,nan,nan,673,1
95%_DR,4.17 E-3,nan,nan,4.44 E-3,nan,nan,4.34 E-3,nan,nan,3.43 E-3,nan,nan,3.44 E-3,nan,nan,4.16 E-3,nan,nan,4.81 E-3,nan,nan,3.60 E-3,nan,nan,673,1
5%_DR,1.57 E-3,nan,nan,1.78 E-3,nan,nan,1.61 E-3,nan,nan,1.18 E-3,nan,nan,9.77 E-4,nan,nan,1.28 E-3,nan,nan,1.67 E-3,nan,nan,1.66 E-3,nan,nan,673,1
1%_DR,1.34 E-3,nan,nan,1.25 E-3,nan,nan,1.16 E-3,nan,nan,8.19 E-4,nan,nan,7.01 E-4,nan,nan,8.46 E-4,nan,nan,1.34 E-3,nan,nan,1.27 E-3,nan,nan,673,1
Min_DR,1.01 E-3,2.19 E-1,1.26 E+1,8.50 E-4,3.03 E-1,1.10 E+1,7.73 E-4,4.17 E-1,8.84 E0,4.85 E-4,3.44 E-1,1.34 E+1,5.90 E-4,3.40 E-1,1.22 E+1,4.85 E-4,3.44 E-1,1.34 E+1,1.04 E-3,2.62 E-1,1.09 E+1,9.29 E-4,2.03 E-1,1.39 E+1,673,1
Max_DR,5.77 E-3,5.85 E-2,3.94 E0,5.57 E-3,6.43 E-2,4.26 E0,5.57 E-3,6.63 E-2,3.51 E0,5.17 E-3,8.27 E-2,3.92 E0,5.18 E-3,8.31 E-2,3.49 E0,5.77 E-3,5.85 E-2,3.94 E0,5.75 E-3,5.55 E-2,4.58 E0,6.08 E-3,4.65 E-2,3.39 E0,686,1
99%_DR,5.14 E-3,nan,nan,5.10 E-3,nan,nan,5.02 E-3,nan,nan,4.54 E-3,nan,nan,4.52 E-3,nan,nan,5.02 E-3,nan,nan,5.43 E-3,nan,nan,5.08 E-3,nan,nan,686,1
95%_DR,4.56 E-3,nan,nan,4.75 E-3,nan,nan,4.72 E-3,nan,nan,3.91 E-3,nan,nan,3.76 E-3,nan,nan,4.53 E-3,nan,nan,5.18 E-3,nan,nan,4.14 E-3,nan,nan,686,1
5%_DR,1.86 E-3,nan,nan,2.10 E-3,nan,nan,1.90 E-3,nan,nan,1.48 E-3,nan,nan,1.21 E-3,nan,nan,1.56 E-3,nan,nan,1.83 E-3,nan,nan,1.74 E-3,nan,nan,686,1
1%_DR,1.59 E-3,nan,nan,1.54 E-3,nan,nan,1.42 E-3,nan,nan,1.08 E-3,nan,nan,9.10 E-4,nan,nan,1.10 E-3,nan,nan,1.56 E-3,nan,nan,1.43 E-3,nan,nan,686,1
Min_DR,1.26 E-3,1.82 E-1,1.25 E+1,1.09 E-3,2.53 E-1,1.09 E+1,9.47 E-4,2.41 E-1,1.22 E+1,6.56 E-4,2.83 E-1,1.33 E+1,7.52 E-4,3.04 E-1,1.17 E+1,6.56 E-4,2.83 E-1,1.33 E+1,1.28 E-3,2.03 E-1,1.15 E+1,1.16 E-3,1.80 E-1,1.32 E+1,686,1
Max_DR,6.01 E-3,4.49 E-2,3.02 E0,5.79 E-3,5.77 E-2,4.02 E0,5.69 E-3,6.09 E-2,3.38 E0,5.48 E-3,6.93 E-2,3.32 E0,5.26 E-3,7.94 E-2,3.57 E0,6.01 E-3,4.49 E-2,3.02 E0,5.95 E-3,5.01 E-2,4.39 E0,6.23 E-3,4.00 E-2,3.21 E0,701,1
99%_DR,5.41 E-3,nan,nan,5.35 E-3,nan,nan,5.27 E-3,nan,nan,4.65 E-3,nan,nan,4.83 E-3,nan,nan,5.25 E-3,nan,nan,5.64 E-3,nan,nan,5.30 E-3,nan,nan,701,1
95%_DR,4.78 E-3,nan,nan,4.98 E-3,nan,nan,4.97 E-3,nan,nan,4.10 E-3,nan,nan,4.02 E-3,nan,nan,4.76 E-3,nan,nan,5.40 E-3,nan,nan,4.44 E-3,nan,nan,701,1
5%_DR,2.15 E-3,nan,nan,2.35 E-3,nan,nan,2.20 E-3,nan,nan,1.75 E-3,nan,nan,1.46 E-3,nan,nan,1.84 E-3,nan,nan,2.04 E-3,nan,nan,1.95 E-3,nan,nan,701,1
1%_DR,1.86 E-3,nan,nan,1.87 E-3,nan,nan,1.74 E-3,nan,nan,1.35 E-3,nan,nan,1.22 E-3,nan,nan,1.37 E-3,nan,nan,1.81 E-3,nan,nan,1.64 E-3,nan,nan,701,1
Min_DR,1.56 E-3,1.60 E-1,1.17 E+1,1.37 E-3,2.23 E-1,1.02 E+1,1.12 E-3,2.17 E-1,1.19 E+1,8.28 E-4,2.39 E-1,1.33 E+1,9.41 E-4,2.68 E-1,1.14 E+1,8.28 E-4,2.39 E-1,1.33 E+1,1.53 E-3,1.78 E-1,1.11 E+1,1.42 E-3,1.79 E-1,1.16 E+1,701,1
Max_DR,5.96 E-3,5.03 E-2,4.31 E0,5.81 E-3,5.70 E-2,3.83 E0,5.79 E-3,5.31 E-2,3.01 E0,5.55 E-3,6.24 E-2,2.98 E0,5.38 E-3,7.40 E-2,3.38 E0,5.96 E-3,5.03 E-2,4.31 E0,5.95 E-3,5.05 E-2,4.33 E0,6.23 E-3,3.91 E-2,3.16 E0,724,1
99%_DR,5.51 E-3,nan,nan,5.42 E-3,nan,nan,5.45 E-3,nan,nan,4.79 E-3,nan,nan,5.05 E-3,nan,nan,5.38 E-3,nan,nan,5.67 E-3,nan,nan,5.39 E-3,nan,nan,724,1
95%_DR,4.97 E-3,nan,nan,5.09 E-3,nan,nan,5.12 E-3,nan,nan,4.39 E-3,nan,nan,4.30 E-3,nan,nan,4.93 E-3,nan,nan,5.50 E-3,nan,nan,4.59 E-3,nan,nan,724,1
5%_DR,2.36 E-3,nan,nan,2.58 E-3,nan,nan,2.34 E-3,nan,nan,1.96 E-3,nan,nan,1.73 E-3,nan,nan,2.08 E-3,nan,nan,2.30 E-3,nan,nan,2.21 E-3,nan,nan,724,1
1%_DR,2.01 E-3,nan,nan,2.19 E-3,nan,nan,1.93 E-3,nan,nan,1.50 E-3,nan,nan,1.49 E-3,nan,nan,1.63 E-3,nan,nan,1.95 E-3,nan,nan,1.75 E-3,nan,nan,724,1
Min_DR,1.75 E-3,1.72 E-1,1.03 E+1,1.46 E-3,2.21 E-1,9.87 E0,1.31 E-3,2.02 E-1,1.13 E+1,1.04 E-3,2.22 E-1,1.22 E+1,1.20 E-3,2.26 E-1,1.11 E+1,1.04 E-3,2.22 E-1,1.22 E+1,1.76 E-3,1.59 E-1,1.08 E+1,1.54 E-3,1.74 E-1,1.12 E+1,724,1
Max_DR,5.29 E-3,7.58 E-2,4.24 E0,5.39 E-3,7.22 E-2,3.22 E0,5.44 E-3,7.18 E-2,3.77 E0,5.32 E-3,7.23 E-2,2.93 E0,5.16 E-3,8.15 E-2,3.05 E0,5.44 E-3,7.18 E-2,3.77 E0,5.65 E-3,6.26 E-2,4.00 E0,5.54 E-3,6.76 E-2,3.59 E0,754,1
99%_DR,5.05 E-3,nan,nan,4.96 E-3,nan,nan,4.95 E-3,nan,nan,4.81 E-3,nan,nan,4.79 E-3,nan,nan,4.95 E-3,nan,nan,5.34 E-3,nan,nan,4.99 E-3,nan,nan,754,1
95%_DR,4.59 E-3,nan,nan,4.71 E-3,nan,nan,4.76 E-3,nan,nan,4.27 E-3,nan,nan,4.08 E-3,nan,nan,4.59 E-3,nan,nan,5.19 E-3,nan,nan,4.27 E-3,nan,nan,754,1
5%_DR,2.28 E-3,nan,nan,2.44 E-3,nan,nan,2.33 E-3,nan,nan,1.88 E-3,nan,nan,1.68 E-3,nan,nan,2.02 E-3,nan,nan,2.18 E-3,nan,nan,2.13 E-3,nan,nan,754,1
1%_DR,1.96 E-3,nan,nan,1.97 E-3,nan,nan,1.87 E-3,nan,nan,1.49 E-3,nan,nan,1.43 E-3,nan,nan,1.58 E-3,nan,nan,1.93 E-3,nan,nan,1.64 E-3,nan,nan,754,1
Min_DR,1.59 E-3,2.10 E-1,9.61 E0,1.60 E-3,2.29 E-1,8.99 E0,1.28 E-3,2.34 E-1,1.03 E+1,9.23 E-4,2.81 E-1,1.11 E+1,1.13 E-3,2.39 E-1,1.11 E+1,9.23 E-4,2.81 E-1,1.11 E+1,1.66 E-3,2.30 E-1,8.71 E0,1.39 E-3,2.27 E-1,1.00 E+1,754,1
Max_DR,5.88 E-3,5.42 E-2,4.05 E0,5.68 E-3,6.19 E-2,3.57 E0,5.73 E-3,5.91 E-2,3.39 E0,5.74 E-3,5.98 E-2,3.60 E0,5.32 E-3,7.07 E-2,2.83 E0,5.88 E-3,5.42 E-2,4.05 E0,5.89 E-3,5.41 E-2,3.92 E0,5.71 E-3,5.95 E-2,3.34 E0,784,1
99%_DR,5.40 E-3,nan,nan,5.30 E-3,nan,nan,5.40 E-3,nan,nan,5.05 E-3,nan,nan,5.11 E-3,nan,nan,5.29 E-3,nan,nan,5.74 E-3,nan,nan,5.35 E-3,nan,nan,784,1
95%_DR,4.98 E-3,nan,nan,5.06 E-3,nan,nan,5.09 E-3,nan,nan,4.65 E-3,nan,nan,4.48 E-3,nan,nan,4.95 E-3,nan,nan,5.54 E-3,nan,nan,4.51 E-3,nan,nan,784,1
5%_DR,2.64 E-3,nan,nan,2.79 E-3,nan,nan,2.72 E-3,nan,nan,2.27 E-3,nan,nan,2.07 E-3,nan,nan,2.39 E-3,nan,nan,2.63 E-3,nan,nan,2.33 E-3,nan,nan,784,1
1%_DR,2.31 E-3,nan,nan,2.38 E-3,nan,nan,2.26 E-3,nan,nan,1.82 E-3,nan,nan,1.74 E-3,nan,nan,1.90 E-3,nan,nan,2.25 E-3,nan,nan,1.89 E-3,nan,nan,784,1
Min_DR,1.87 E-3,1.95 E-1,8.99 E0,1.96 E-3,1.99 E-1,8.49 E0,1.49 E-3,2.06 E-1,1.03 E+1,1.31 E-3,2.68 E-1,9.17 E0,1.38 E-3,2.03 E-1,1.09 E+1,1.31 E-3,2.68 E-1,9.17 E0,1.89 E-3,1.97 E-1,8.83 E0,1.70 E-3,1.71 E-1,1.06 E+1,784,1
Max_DR,5.92 E-3,5.31 E-2,3.78 E0,5.72 E-3,5.89 E-2,3.25 E0,5.80 E-3,5.58 E-2,3.27 E0,5.40 E-3,6.55 E-2,2.77 E0,5.44 E-3,6.70 E-2,4.56 E0,5.92 E-3,5.31 E-2,3.78 E0,5.93 E-3,5.21 E-2,4.13 E0,6.00 E-3,4.27 E-2,2.85 E0,814,1
99%_DR,5.42 E-3,nan,nan,5.41 E-3,nan,nan,5.46 E-3,nan,nan,5.10 E-3,nan,nan,5.13 E-3,nan,nan,5.37 E-3,nan,nan,5.85 E-3,nan,nan,5.62 E-3,nan,nan,814,1
95%_DR,5.10 E-3,nan,nan,5.19 E-3,nan,nan,5.16 E-3,nan,nan,4.75 E-3,nan,nan,4.60 E-3,nan,nan,5.06 E-3,nan,nan,5.59 E-3,nan,nan,4.66 E-3,nan,nan,814,1
5%_DR,2.84 E-3,nan,nan,2.98 E-3,nan,nan,2.92 E-3,nan,nan,2.45 E-3,nan,nan,2.24 E-3,nan,nan,2.57 E-3,nan,nan,2.67 E-3,nan,nan,2.39 E-3,nan,nan,814,1
1%_DR,2.47 E-3,nan,nan,2.55 E-3,nan,nan,2.40 E-3,nan,nan,1.94 E-3,nan,nan,1.91 E-3,nan,nan,2.06 E-3,nan,nan,2.27 E-3,nan,nan,1.96 E-3,nan,nan,814,1
Min_DR,1.96 E-3,2.00 E-1,8.48 E0,2.19 E-3,2.11 E-1,7.31 E0,1.62 E-3,2.03 E-1,9.73 E0,1.42 E-3,2.70 E-1,8.60 E0,1.54 E-3,2.03 E-1,1.01 E+1,1.42 E-3,2.70 E-1,8.60 E0,1.90 E-3,2.15 E-1,8.21 E0,1.45 E-3,2.47 E-1,9.14 E0,814,1
Max_DR,5.76 E-3,5.89 E-2,3.75 E0,5.54 E-3,6.63 E-2,3.28 E0,5.62 E-3,6.27 E-2,3.27 E0,5.23 E-3,7.54 E-2,2.87 E0,5.29 E-3,7.81 E-2,3.45 E0,5.76 E-3,5.89 E-2,3.75 E0,6.73 E-3,2.83 E-2,3.81 E0,5.86 E-3,4.73 E-2,2.83 E0,827,1
99%_DR,5.38 E-3,nan,nan,5.23 E-3,nan,nan,5.35 E-3,nan,nan,4.97 E-3,nan,nan,4.84 E-3,nan,nan,5.22 E-3,nan,nan,5.72 E-3,nan,nan,5.32 E-3,nan,nan,827,1
95%_DR,4.97 E-3,nan,nan,5.00 E-3,nan,nan,5.00 E-3,nan,nan,4.60 E-3,nan,nan,4.43 E-3,nan,nan,4.91 E-3,nan,nan,5.41 E-3,nan,nan,4.67 E-3,nan,nan,827,1
5%_DR,2.75 E-3,nan,nan,2.90 E-3,nan,nan,2.84 E-3,nan,nan,2.37 E-3,nan,nan,2.18 E-3,nan,nan,2.51 E-3,nan,nan,2.94 E-3,nan,nan,2.43 E-3,nan,nan,827,1
1%_DR,2.40 E-3,nan,nan,2.45 E-3,nan,nan,2.35 E-3,nan,nan,1.90 E-3,nan,nan,1.87 E-3,nan,nan,2.02 E-3,nan,nan,2.49 E-3,nan,nan,2.01 E-3,nan,nan,827,1
Min_DR,1.88 E-3,2.11 E-1,8.43 E0,2.11 E-3,5.12 E-2,6.99 E-1,1.59 E-3,2.16 E-1,9.41 E0,1.38 E-3,2.81 E-1,8.49 E0,1.49 E-3,2.15 E-1,9.91 E0,1.38 E-3,2.81 E-1,8.49 E0,2.21 E-3,1.09 E-1,1.14 E+1,1.48 E-3,2.66 E-1,8.44 E0,827,1
Max_DR,1.90 E-3,6.37 E-2,3.99 E0,2.05 E-3,7.50 E-2,2.08 E0,1.87 E-3,9.04 E-2,2.58 E0,1.77 E-3,1.03 E-1,2.19 E0,1.61 E-3,9.54 E-2,3.68 E0,2.05 E-3,7.50 E-2,2.08 E0,2.59 E-3,3.62 E-2,2.16 E0,2.59 E-3,2.48 E-2,1.60 E0,673,1.5
99%_DR,1.47 E-3,nan,nan,1.86 E-3,nan,nan,1.59 E-3,nan,nan,1.22 E-3,nan,nan,1.21 E-3,nan,nan,1.64 E-3,nan,nan,1.69 E-3,nan,nan,1.18 E-3,nan,nan,673,1.5
95%_DR,1.09 E-3,nan,nan,1.56 E-3,nan,nan,1.38 E-3,nan,nan,7.91 E-4,nan,nan,7.79 E-4,nan,nan,1.22 E-3,nan,nan,1.48 E-3,nan,nan,7.85 E-4,nan,nan,673,1.5
5%_DR,2.11 E-4,nan,nan,2.54 E-4,nan,nan,2.15 E-4,nan,nan,1.32 E-4,nan,nan,9.85 E-5,nan,nan,1.52 E-4,nan,nan,2.30 E-4,nan,nan,2.26 E-4,nan,nan,673,1.5
1%_DR,1.61 E-4,nan,nan,1.45 E-4,nan,nan,1.30 E-4,nan,nan,7.67 E-5,nan,nan,5.90 E-5,nan,nan,7.86 E-5,nan,nan,1.65 E-4,nan,nan,1.52 E-4,nan,nan,673,1.5
Min_DR,1.06 E-4,2.19 E-1,1.26 E+1,7.88 E-5,3.03 E-1,1.10 E+1,6.83 E-5,4.17 E-1,8.84 E0,3.34 E-5,3.44 E-1,1.34 E+1,4.48 E-5,3.40 E-1,1.22 E+1,3.34 E-5,3.44 E-1,1.34 E+1,1.08 E-4,2.62 E-1,1.09 E+1,9.42 E-5,2.03 E-1,1.39 E+1,673,1.5
Max_DR,1.99 E-3,5.85 E-2,3.94 E0,2.18 E-3,6.28 E-2,2.00 E0,2.01 E-3,7.81 E-2,2.52 E0,1.92 E-3,8.65 E-2,2.06 E0,1.78 E-3,8.31 E-2,3.49 E0,2.18 E-3,6.28 E-2,2.00 E0,2.63 E-3,3.39 E-2,2.14 E0,2.67 E-3,2.31 E-2,1.69 E0,686,1.5
99%_DR,1.68 E-3,nan,nan,1.96 E-3,nan,nan,1.83 E-3,nan,nan,1.51 E-3,nan,nan,1.44 E-3,nan,nan,1.82 E-3,nan,nan,1.98 E-3,nan,nan,1.64 E-3,nan,nan,686,1.5
