Quantile,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI,wavelength (nm),distance (cm)
Max_DR,0.000192915422079661,0.00040040593659970133,0.0001951453215110862,0.00018626245746224598,0.00010108087787253938,0.00040040593659970133,0.0004252747794877531,0.0005764601557835654,673,1
99%_DR,8.473035854254438e-05,0.0002989035255352581,0.00012744046280855926,5.469225946159439e-05,5.2829618428508184e-05,0.00013971424153096527,0.00012145940874673107,4.897856764226652e-05,673,1
95%_DR,3.931260631007191e-05,0.00011214516724495552,7.807126152410076e-05,1.9400530782972666e-05,1.9217366954293265e-05,5.4569439180709966e-05,8.753616981499472e-05,2.0042327666263814e-05,673,1
5%_DR,1.2669580374565519e-06,1.8435930122560967e-06,1.3310093279949875e-06,4.81347869107115e-07,2.7206532993297267e-07,6.438730928990351e-07,1.5558861701923178e-06,1.60362050511701e-06,673,1
1%_DR,7.120692625119859e-07,5.394894031926904e-07,4.815225847190729e-07,1.5314505442277481e-07,9.991535967889403e-08,1.703849879715604e-07,8.452102039822216e-07,7.115324466346269e-07,673,1
Min_DR,3.3265254909127123e-07,1.6278768457231044e-07,1.0968425995346649e-07,2.9385033385820657e-08,5.214317862837246e-08,2.9385033385820657e-08,3.189720995489616e-07,2.8001012047231223e-07,673,1
Max_DR,0.0002309392409121635,0.00042499476163922114,0.00026027198173495073,0.0002358049628205837,0.000130223913581799,0.00042499476163922114,0.00044259564841169717,0.0005810778356249612,686,1
99%_DR,0.00011233218800490195,0.0003257395958916814,0.00017196815466378334,8.69431611658144e-05,8.143458965339465e-05,0.0001811705969923793,0.00018828130023864536,0.00010324850235424526,686,1
95%_DR,5.903785054115279e-05,0.00014320900798329658,0.00010962351470443831,3.0409905761701224e-05,2.6418474598366487e-05,7.726825563219386e-05,0.00012264635326701969,3.2815353335390274e-05,686,1
5%_DR,2.3004016981437377e-06,3.268586161741076e-06,2.372453773921665e-06,1.0078748408472349e-06,5.681581091470229e-07,1.218561802960971e-06,2.120717700861596e-06,2.081342330907192e-06,686,1
1%_DR,1.3171363586553054e-06,1.0772285094078644e-06,9.416915492764939e-07,3.6249422243055355e-07,2.179115449620833e-07,3.723344540678026e-07,1.2732174022077208e-06,1.184913064162967e-06,686,1
Min_DR,6.766662369141383e-07,3.7266821687726747e-07,2.5762368202941424e-07,8.108217606321517e-08,1.1341259549614334e-07,8.108217606321517e-08,6.878298109578027e-07,5.717432883348401e-07,686,1
Max_DR,0.00027804885997438606,0.00045333963185968884,0.0002493391434097645,0.00026293225413821233,0.00015491630610351282,0.00045333963185968884,0.00047151951193873093,0.0006026223191793422,701,1
99%_DR,0.00013116545324950152,0.0003594352798867936,0.0001864592670150743,6.967876245423883e-05,9.830534337445356e-05,0.00018652925457074418,0.00023651195117308638,0.00014664151425750895,701,1
95%_DR,7.691373062294357e-05,0.0001498757131822856,0.00012923051219918406,3.9480176432082785e-05,3.372342172482982e-05,9.394008294574698e-05,0.0001497225754037091,4.2945253139538116e-05,701,1
5%_DR,3.61450490007281e-06,4.7612151811170915e-06,3.8400589679407375e-06,1.8281869526096857e-06,9.822215615195406e-07,2.12112451265968e-06,3.1131445734453726e-06,2.8653773571495873e-06,701,1
1%_DR,2.169294244522906e-06,2.1244438077991626e-06,1.7944771330389346e-06,7.643242786331997e-07,5.469571607749232e-07,8.103891288889736e-07,2.0425862309184276e-06,1.7710802819534934e-06,701,1
Min_DR,1.2930942040775212e-06,7.89014985560172e-07,4.491690561372153e-07,1.7789121641161913e-07,2.3569435696883302e-07,1.7789121641161913e-07,1.2153678872492984e-06,9.917580709471013e-07,701,1
Max_DR,0.0002973493445794223,0.00046070918851256624,0.000299524197970359,0.0003048075697556724,0.00019239489725527163,0.00046070918851256624,0.000510261593875783,0.0006253329385645232,724,1
99%_DR,0.00014971972288052224,0.00040923383695458913,0.00022612404985054255,0.00011027632524971457,0.00013241053315425074,0.00022825289023679126,0.0002465160109173768,0.00017244264034097163,724,1
95%_DR,9.920565132459258e-05,0.00017563204573494497,0.00015785165534243822,5.14732142244557e-05,4.80730223097667e-05,0.00011451544976601542,0.00016327215665327033,4.921736264119639e-05,724,1
5%_DR,4.85261847063159e-06,6.573077242600278e-06,5.01106029262809e-06,2.5835096827495146e-06,1.7635286150061622e-06,3.1909047792191646e-06,4.498822593411688e-06,4.301122367910981e-06,724,1
