Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
Max_DR,0.0055672602817598916,0.063732,3.985426,0.005161769314905981,0.077234,4.457463,0.00524696107775308,0.078241,3.661419,0.004978518391956795,0.08925566666666666,4.038289333333334,0.004893593942036998,0.09540399999999999,3.676574,0.0055672602817598916,0.063732,3.985426,0.005524320343715884,0.03621108122662699,2.1626915416167023,0.005368356850438985,0.0698005,4.3179425,673,1.0
99%_DR,0.004701746114926725,,,0.004815811288116823,,,0.0046914678921221534,,,0.004174335241927976,,,0.004112363825941588,,,0.004677821968005125,,,0.005021148149586103,,,0.004353994708451012,,,673,1.0
95%_DR,0.00413120164908853,,,0.004412315716457581,,,0.00431595981016879,,,0.0034168969651284624,,,0.003412858134355173,,,0.0041409697390776415,,,0.004775413708032652,,,0.0035754705937195534,,,673,1.0
5%_DR,0.0015696658412432101,,,0.0017738180954677833,,,0.0016009320463115178,,,0.001177339481493749,,,0.000973120209543791,,,0.0012771278834753695,,,0.0016604297845334228,,,0.0016532154844322757,,,673,1.0
1%_DR,0.001337060406217506,,,0.0012486212278343752,,,0.0011562760706249724,,,0.0008149176668546281,,,0.000698599798667093,,,0.00084333841901793,,,0.0013357118487167987,,,0.001267043568647618,,,673,1.0
Min_DR,0.0010073545339302097,0.219423,12.561047,0.0008473878477360047,0.30313366666666663,10.979082666666669,0.0007718628466973852,0.41735733333333336,8.844211666666666,0.0004832288409865518,0.34396133333333334,13.37968,0.0005882133269068437,0.339914,12.249653333333333,0.0004832288409865518,0.34396133333333334,13.37968,0.0010352433056681415,0.2615125,10.9037735,0.0009235254822397014,0.2027355,13.920864,673,1.0
Max_DR,0.005705149164134328,0.05847266666666667,3.9426543333333335,0.005516273284979876,0.064261,4.263497,0.005514138376024523,0.06628833333333332,3.5112236666666665,0.005132042544731829,0.0827295,3.922251,0.005143111008574211,0.08309233333333334,3.4912310000000004,0.005705149164134328,0.05847266666666667,3.9426543333333335,0.005684440913574609,0.0555055,4.57965,0.005997053865357608,0.046549,3.392318,686,1.0
99%_DR,0.005088753712971998,,,0.005056677333000174,,,0.004982682120033678,,,0.004506332318331868,,,0.004496841111442425,,,0.004981485015675657,,,0.005378244282307575,,,0.0049970455159036075,,,686,1.0
95%_DR,0.004530919193084956,,,0.004710298121369456,,,0.004682688276566304,,,0.0038878960880686193,,,0.0037434636185540477,,,0.004507615534104275,,,0.005136759260159715,,,0.004099902340755956,,,686,1.0
5%_DR,0.0018489085276998263,,,0.0020884104261882073,,,0.0018894339724368054,,,0.0014693079523413837,,,0.0012096722505754495,,,0.001550536860538204,,,0.001816801398123193,,,0.0017230249866153897,,,686,1.0
1%_DR,0.0015824356841108113,,,0.0015354194709793817,,,0.0014087490110590653,,,0.0010710490091853247,,,0.0009049757078906767,,,0.00109314985041319,,,0.0015557064180645279,,,0.0014129171136249687,,,686,1.0
Min_DR,0.0012485227932246819,0.181521,12.497507,0.001084475625752718,0.2527703333333333,10.865581,0.0009430459762914827,0.240806,12.239002,0.0006541070281684175,0.28298466666666666,13.317338333333332,0.0007495799990111275,0.30426966666666666,11.732917,0.0006541070281684175,0.28298466666666666,13.317338333333332,0.0012782610209542459,0.20253,11.453639,0.0011566718332703153,0.179786,13.1827355,686,1.0
Max_DR,0.005934466622463985,0.04489,3.015598,0.005720205338565019,0.05766733333333333,4.016257333333333,0.005630113356126447,0.0608775,3.384668,0.005427031800722241,0.069263,3.32279,0.005222369302428883,0.07940349999999999,3.574494,0.005934466622463985,0.04489,3.015598,0.005875407430052298,0.0501395,4.391721,0.00613387249634306,0.040008,3.213373,701,1.0
99%_DR,0.005359091548630969,,,0.005305402144807278,,,0.005223310895968726,,,0.004620976410291643,,,0.004783131995718702,,,0.005206529130526874,,,0.00557864033382824,,,0.00523497931485692,,,701,1.0
95%_DR,0.004745636290932873,,,0.004933004989422844,,,0.004930662975793159,,,0.004082190884345862,,,0.0040015360261834885,,,0.00472989867518189,,,0.005345659376785095,,,0.00438884483863512,,,701,1.0
5%_DR,0.0021421650166474375,,,0.0023409011482125788,,,0.0021831653992221024,,,0.0017426807486205385,,,0.0014578530700801204,,,0.0018284627957718999,,,0.002016782136181959,,,0.0019406012279378083,,,701,1.0
1%_DR,0.0018454325721025417,,,0.0018569584096234217,,,0.0017299050160721322,,,0.0013435646053597272,,,0.001211332779237131,,,0.0013674730106369663,,,0.0017948237139447766,,,0.0016266282797675767,,,701,1.0
Min_DR,0.0015516452158189325,0.16002,11.73369,0.001367511620045797,0.22292366666666666,10.238213666666667,0.0011178268350840108,0.216819,11.896488,0.0008248709733214518,0.23948466666666668,13.251164666666666,0.0009381655903743886,0.2683473333333333,11.350093666666666,0.0008248709733214518,0.23948466666666668,13.251164666666666,0.00151665630482882,0.178008,11.135972,0.0014123326942559813,0.178998667,11.64447167,701,1.0
Max_DR,0.005884915428715378,0.05028,4.313523666666667,0.005749193659287666,0.056999999999999995,3.8335483333333333,0.00572529122539759,0.053141,3.006793,0.00549946354948593,0.062435,2.976761,0.005330441664350026,0.07396050000000001,3.3848380000000002,0.005884915428715378,0.05028,4.313523666666667,0.0058762527231392215,0.0504975,4.328276499999999,0.006141537973632869,0.039064,3.155036,724,1.0
99%_DR,0.005448682026785526,,,0.005371525771028717,,,0.005401539244535016,,,0.0047592020572261905,,,0.005012570639197973,,,0.005329797446890145,,,0.005608663619504325,,,0.005333484806830059,,,724,1.0
95%_DR,0.0049340801061108245,,,0.005053232599801214,,,0.005071263373972294,,,0.004364726550453177,,,0.004282448236423801,,,0.004889319743593822,,,0.005442837283230575,,,0.00455802355920881,,,724,1.0
5%_DR,0.0023394639535014162,,,0.002561161483425867,,,0.0023285788848271378,,,0.0019477254285227494,,,0.001716595633559933,,,0.002069674635193483,,,0.0022831413143772016,,,0.0021936833110160247,,,724,1.0
1%_DR,0.001999649722111367,,,0.002176991997923762,,,0.001913659168555569,,,0.0014873635896913275,,,0.0014827527254553103,,,0.0016173036630500698,,,0.0019353419440290255,,,0.0017270068738263363,,,724,1.0
Min_DR,0.0017417982769101878,0.17166700000000001,10.3302955,0.0014536863463541889,0.221023,9.872733,0.0013068877263863452,0.201717,11.32083,0.0010367369274059874,0.22232933333333335,12.238145333333334,0.0011973822002580984,0.22552399999999997,11.086147666666667,0.0010367369274059874,0.22232933333333335,12.238145333333334,0.0017516606257016894,0.1594,10.794224,0.0015265445178310347,0.174444,11.233236,724,1.0
Max_DR,0.005239693012239568,0.075786,4.244998,0.005345683617191058,0.072198,3.215109,0.005389032551668955,0.07176650000000001,3.766743,0.0052735264001806505,0.0723235,2.9328765,0.005121673373615256,0.08150333333333333,3.0535496666666666,0.005389032551668955,0.07176650000000001,3.766743,0.005595074868095874,0.06257850000000001,3.998166,0.005487750164222915,0.067574,3.589364,754,1.0
99%_DR,0.005007401708921189,,,0.0049306528589721935,,,0.004913868025559495,,,0.00477536073542249,,,0.00475534566011303,,,0.004910975456664923,,,0.005264212607391158,,,0.00494415376387549,,,754,1.0
95%_DR,0.004566307499455749,,,0.0046812779388502555,,,0.004733127128301979,,,0.004239393154098432,,,0.004061716931028659,,,0.004560218762286537,,,0.005145444360467969,,,0.004238604983691745,,,754,1.0
5%_DR,0.002265939814390437,,,0.002427121353908791,,,0.0023193437877241448,,,0.0018721069891111139,,,0.0016781845690728495,,,0.0020117513006720914,,,0.002173994467832796,,,0.0021178922714280655,,,754,1.0
1%_DR,0.0019464645673798627,,,0.0019578654819140486,,,0.0018586261258335941,,,0.0014817269841449628,,,0.001427717441794526,,,0.0015760851926417629,,,0.0019208785273732189,,,0.0016308030956413786,,,754,1.0
Min_DR,0.0015865121353712435,0.21025850000000001,9.612450500000001,0.0015924446493537933,0.22891966666666666,8.990593000000002,0.0012791494357593807,0.233688,10.348872,0.0009199046695386368,0.280529,11.106062333333334,0.0011257415678452892,0.23894066666666666,11.060572666666667,0.0009199046695386368,0.280529,11.106062333333334,0.0016492285154230356,0.230308,8.70794,0.0013868948797069393,0.2269835,10.006248,754,1.0
Max_DR,0.005809706888294893,0.054211666666666665,4.048433,0.005622290887691262,0.06191,3.567010666666667,0.005672943751485173,0.059118500000000004,3.3860349999999997,0.005675475863949301,0.059818,3.597422,0.00527054797843816,0.07065133333333333,2.8276326666666667,0.005809706888294893,0.054211666666666665,4.048433,0.005821571334736768,0.0541295,3.920329,0.005655518859550041,0.059521,3.335506,784,1.0
