Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
Max_DR,0.9977714032100948,0.294861,6.3298,0.998175448006163,0.301551,3.732023,0.998305743804317,0.41735733333333336,8.844211666666666,0.9981615767605568,0.414874,10.21234,0.9982052646858672,0.359725,6.729765,0.998305743804317,0.41735733333333336,8.844211666666666,0.9981164457176012,0.3343585,6.093129,0.9971186420355919,0.214867,4.586466,673,1.0
99%_DR,0.9969905300942941,,,0.9974068048988114,,,0.9974692863602735,,,0.9976637931081981,,,0.9975465132845217,,,0.9975009329248828,,,0.996763437277953,,,0.9963912343996532,,,673,1.0
95%_DR,0.9963607393162954,,,0.9966842203083587,,,0.9968751611979335,,,0.9972158239874738,,,0.9971466471185877,,,0.9969734306460649,,,0.9961512179893455,,,0.9954129196894355,,,673,1.0
5%_DR,0.9906705802329627,,,0.9915272640073026,,,0.9926596900562485,,,0.9935491747845994,,,0.9932525717423081,,,0.9919867460686164,,,0.990491329170135,,,0.9910018058343956,,,673,1.0
1%_DR,0.9865054850176296,,,0.9892552669757186,,,0.990237807977002,,,0.9909312876038529,,,0.9895637305339061,,,0.9892552669757186,,,0.989829897890794,,,0.9875838140222604,,,673,1.0
Min_DR,0.9786424360686902,0.062182,14.377233,0.9846948902831236,0.05556,7.479989,0.9892047085519214,0.086373,8.7995485,0.9836138115776638,0.078961,14.153131,0.9747611025782201,0.059758,17.004705,0.9747611025782201,0.059758,17.004705,0.9847880363910847,0.03621108122662699,2.1626915416167023,0.9798285468005714,0.024796374076105968,1.5991320782595013,673,1.0
Max_DR,0.9970760453039517,0.244096,6.996942,0.9977746391256405,0.2561795,3.8038030000000003,0.9980135372094541,0.2921803333333333,4.448116333333333,0.9977755172014319,0.352678,9.942594,0.9980183658460717,0.3256555,6.3774235,0.9980183658460717,0.3256555,6.3774235,0.9976662165611876,0.2861575,6.479428,0.9965994533726359,0.185692,4.545688,686,1.0
99%_DR,0.9964112490726411,,,0.996732273781329,,,0.9969874425025131,,,0.9971316388919871,,,0.9971538498198496,,,0.9969464523069683,,,0.9963051423619467,,,0.9951008281882479,,,686,1.0
95%_DR,0.9956726910117221,,,0.9961122907928146,,,0.9961634609650059,,,0.9965667132739444,,,0.9965417289278138,,,0.9963358046222386,,,0.9954957439240986,,,0.9945538405841243,,,686,1.0
5%_DR,0.9895819491307906,,,0.9905243693414284,,,0.9915365991474063,,,0.9926301870893124,,,0.9924315060388711,,,0.9909659974759178,,,0.9891997753414302,,,0.9893258036048166,,,686,1.0
