Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
Max_DR,9.98 E-1,2.95 E-1,6.33 E0,9.98 E-1,3.02 E-1,3.73 E0,9.98 E-1,4.17 E-1,8.84 E0,9.98 E-1,4.15 E-1,1.02 E+1,9.98 E-1,3.60 E-1,6.73 E0,9.98 E-1,4.17 E-1,8.84 E0,9.98 E-1,3.34 E-1,6.09 E0,9.97 E-1,2.15 E-1,4.59 E0,673,1.0
99%_DR,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.98 E-1,nan,nan,9.98 E-1,nan,nan,9.98 E-1,nan,nan,9.97 E-1,nan,nan,9.96 E-1,nan,nan,673,1.0
95%_DR,9.96 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.96 E-1,nan,nan,9.95 E-1,nan,nan,673,1.0
5%_DR,9.91 E-1,nan,nan,9.92 E-1,nan,nan,9.93 E-1,nan,nan,9.94 E-1,nan,nan,9.93 E-1,nan,nan,9.92 E-1,nan,nan,9.90 E-1,nan,nan,9.91 E-1,nan,nan,673,1.0
1%_DR,9.87 E-1,nan,nan,9.89 E-1,nan,nan,9.90 E-1,nan,nan,9.91 E-1,nan,nan,9.90 E-1,nan,nan,9.89 E-1,nan,nan,9.90 E-1,nan,nan,9.88 E-1,nan,nan,673,1.0
Min_DR,9.79 E-1,6.22 E-2,1.44 E+1,9.85 E-1,5.56 E-2,7.48 E0,9.89 E-1,8.64 E-2,8.80 E0,9.84 E-1,7.90 E-2,1.42 E+1,9.75 E-1,5.98 E-2,1.70 E+1,9.75 E-1,5.98 E-2,1.70 E+1,9.85 E-1,3.62 E-2,2.16 E0,9.80 E-1,2.48 E-2,1.60 E0,673,1.0
Max_DR,9.97 E-1,2.44 E-1,7.00 E0,9.98 E-1,2.56 E-1,3.80 E0,9.98 E-1,2.92 E-1,4.45 E0,9.98 E-1,3.53 E-1,9.94 E0,9.98 E-1,3.26 E-1,6.38 E0,9.98 E-1,3.26 E-1,6.38 E0,9.98 E-1,2.86 E-1,6.48 E0,9.97 E-1,1.86 E-1,4.55 E0,686,1.0
99%_DR,9.96 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.96 E-1,nan,nan,9.95 E-1,nan,nan,686,1.0
95%_DR,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.96 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,686,1.0
5%_DR,9.90 E-1,nan,nan,9.91 E-1,nan,nan,9.92 E-1,nan,nan,9.93 E-1,nan,nan,9.92 E-1,nan,nan,9.91 E-1,nan,nan,9.89 E-1,nan,nan,9.89 E-1,nan,nan,686,1.0
