Quantile,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wavelength (nm),distance (cm)
Max_DR,0.005624530978193582,0.063732,3.985426,0.0052071997561826296,0.077234,4.457463,0.005290019178792911,0.078241,3.661419,0.005015152576018347,0.08925566666666666,4.038289333333334,0.004926360850489861,0.09540399999999999,3.676574,0.005624530978193582,0.063732,3.985426,0.005609654199253527,0.03621108122662699,2.1626915416167023,0.00542011295775457,0.0698005,4.3179425,673,1
99%_DR,0.004739964685322674,nan,nan,0.004852169501058142,nan,nan,0.004718866967136506,nan,nan,0.004198816114460793,nan,nan,0.004131016327741741,nan,nan,0.004708190141853884,nan,nan,0.005058967018213116,nan,nan,0.004385155567176094,nan,nan,673,1
95%_DR,0.00416946882269167,nan,nan,0.004437570788681541,nan,nan,0.004337718044275719,nan,nan,0.003431999881123322,nan,nan,0.003438741302948364,nan,nan,0.00416397435183939,nan,nan,0.004814282656512913,nan,nan,0.0035979153890633177,nan,nan,673,1
5%_DR,0.0015748168358235464,nan,nan,0.0017824855257408474,nan,nan,0.001607738283525613,nan,nan,0.0011811946940045864,nan,nan,0.0009768175047406404,nan,nan,0.0012832739305524052,nan,nan,0.0016679596956188046,nan,nan,0.0016589953789999032,nan,nan,673,1
1%_DR,0.0013415201018307686,nan,nan,0.0012518664944507554,nan,nan,0.001161440436140219,nan,nan,0.0008194419331285753,nan,nan,0.0007008376756457114,nan,nan,0.000845775308167544,nan,nan,0.0013433315386372029,nan,nan,0.001273993604974997,nan,nan,673,1
Min_DR,0.0010120018119866353,0.219423,12.561047,0.0008498015588702546,0.30313366666666663,10.979082666666669,0.0007731727995032771,0.41735733333333336,8.844211666666666,0.0004845448091323122,0.34396133333333334,13.37968,0.0005897576874989757,0.339914,12.249653333333333,0.0004845448091323122,0.34396133333333334,13.37968,0.0010387739485995563,0.2615125,10.9037735,0.0009285376517415135,0.2027355,13.920864,673,1
Max_DR,0.0057687059082126586,0.05847266666666667,3.9426543333333335,0.005573727669055457,0.064261,4.263497,0.005566973105019251,0.06628833333333332,3.5112236666666665,0.00517255090190172,0.0827295,3.922251,0.005182367476008633,0.08309233333333334,3.4912310000000004,0.0057687059082126586,0.05847266666666667,3.9426543333333335,0.00575424828225552,0.0555055,4.57965,0.006076420404777347,0.046549,3.392318,686,1
99%_DR,0.0051358036878797345,nan,nan,0.00510323143237234,nan,nan,0.005020672652088776,nan,nan,0.004537197998141358,nan,nan,0.00452139734201359,nan,nan,0.005022182001622718,nan,nan,0.005427499591131066,nan,nan,0.005076578817835928,nan,nan,686,1
95%_DR,0.004557862248677019,nan,nan,0.00474908556037458,nan,nan,0.004719311591554088,nan,nan,0.0039112358646803775,nan,nan,0.0037600941544968076,nan,nan,0.004534634144138969,nan,nan,0.005182768382445629,nan,nan,0.004140006625833809,nan,nan,686,1
5%_DR,0.001859592161848983,nan,nan,0.0021003339655283368,nan,nan,0.001898509583591573,nan,nan,0.0014757031409773614,nan,nan,0.001214575509301913,nan,nan,0.0015570309756755495,nan,nan,0.0018265939914601486,nan,nan,0.001736557178510139,nan,nan,686,1
1%_DR,0.001591223776463853,nan,nan,0.0015401816899760228,nan,nan,0.0014159509376995404,nan,nan,0.0010750418642504367,nan,nan,0.0009099081191074325,nan,nan,0.0010965617335936516,nan,nan,0.0015625518292580278,nan,nan,0.0014258391659033958,nan,nan,686,1
Min_DR,0.0012557653261976987,0.181521,12.497507,0.0010883252573466837,0.2527703333333333,10.865581,0.0009468621419552402,0.240806,12.239002,0.0006563833583595623,0.28298466666666666,13.317338333333332,0.0007517880187302526,0.30426966666666666,11.732917,0.0006563833583595623,0.28298466666666666,13.317338333333332,0.001284407417674594,0.20253,11.453639,0.0011636962751084927,0.179786,13.1827355,686,1
Max_DR,0.006013728190075607,0.04489,3.015598,0.00578512036300483,0.05766733333333333,4.016257333333333,0.005688213503285787,0.0608775,3.384668,0.005476239930676977,0.069263,3.32279,0.005264346217404983,0.07940349999999999,3.574494,0.006013728190075607,0.04489,3.015598,0.0059535557487783095,0.0501395,4.391721,0.006225432654025966,0.040008,3.213373,701,1
99%_DR,0.0054063013890866965,nan,nan,0.0053548151461344316,nan,nan,0.0052650989609651175,nan,nan,0.004648214606667424,nan,nan,0.004827664267948814,nan,nan,0.005252374043407902,nan,nan,0.005636848637342203,nan,nan,0.005296516261396245,nan,nan,701,1
95%_DR,0.004782255248727483,nan,nan,0.004979155715903396,nan,nan,0.0049723205820811035,nan,nan,0.004103219057556209,nan,nan,0.004024262264240376,nan,nan,0.004764710481305573,nan,nan,0.005397688775860555,nan,nan,0.004438855457606677,nan,nan,701,1
